Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
58.81,Ryan,Getzlaf,33,Anaheim Ducks,C,15,50,21,3,158,115
58.7,Jeff,Skinner,26,Buffalo Sabres,C,31,30,16,5,264,32
58.32,Jonathan,Huberdeau,25,Florida Panthers,L,24,46,19,-3,210,39
57.88,Mikael,Granlund,26,Minnesota Wild,R,24,43,21,4,198,45
57.68,Dylan,Larkin,22,Detroit Red Wings,C,24,38,14,-7,233,73
57.57,Mike,Hoffman,29,Florida Panthers,L,26,31,21,-9,248,33
57.47,Nazem,Kadri,28,Toronto Maple Leafs,C,25,29,18,-10,215,91
57.35,Joe,Pavelski,34,San Jose Sharks,C,25,31,19,0,211,80
57.14,Wayne,Simmonds,30,Philadelphia Flyers,R,25,24,16,-7,199,132
57.03,Eric,Staal,34,Minnesota Wild,C,30,34,16,-2,223,43
56.96,Cam,Atkinson,29,Columbus Blue Jackets,R,30,27,15,-6,265,39
56.6,Evgenii,Dadonov,29,Florida Panthers,R,28,41,17,4,215,26
55.68,Logan,Couture,29,San Jose Sharks,C,29,36,16,6,212,39
55.5,Alexander,Radulov,32,Dallas Stars,R,23,40,19,0,178,70
