First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Oscar,Lindberg,27,C,1,8475715,12,11,1,2,111,103
Jason,Zucker,26,L,1,8475722,27,29,13,6,214,78
Tyler,Toffoli,26,R,1,8475726,26,28,13,-1,231,71
Ryan,Spooner,26,C,1,8475727,17,32,15,-4,161,77
Johan,Larsson,26,C,1,8475728,10,12,0,-8,92,117
Stephen,Johns,26,D,0,8475730,6,12,1,1,135,206
Greg,McKegg,26,C,1,8475735,7,5,0,1,73,76
Connor,Brickley,26,L,1,8475736,9,14,2,0,104,147
Jordan,Weal,26,C,1,8475738,13,15,3,0,121,34
Evgeny,Kuznetsov,26,C,1,8475744,24,51,26,2,202,47
Charlie,Coyle,26,C,1,8475745,16,28,8,0,150,93
Patrik,Nemeth,26,D,0,8475747,3,14,1,1,98,90
Jon,Merrill,26,D,0,8475750,3,9,0,-1,79,90
Tyler,Pitlick,27,C,1,8475752,14,13,2,2,134,125
Justin,Faulk,26,D,0,8475753,12,28,16,-6,227,127
Brock,Nelson,27,C,1,8475754,18,19,7,-7,152,55
Alexander,Petrovic,26,D,0,8475755,3,18,2,4,86,166
Devante,Smith-Pelly,26,R,1,8475758,10,11,0,-5,113,153
Nick,Bjugstad,26,C,1,8475760,19,27,11,0,208,94
Derek,Forbort,26,D,0,8475762,4,18,2,2,94,146
Kevin,Hayes,26,C,1,8475763,21,26,9,-1,178,48
Cam,Fowler,27,D,0,8475764,10,28,12,-2,162,37
Vladimir,Tarasenko,27,R,1,8475765,35,38,22,2,293,70
Austin,Watson,26,L,1,8475766,11,12,1,-1,108,178
Jaden,Schwartz,26,L,1,8475768,27,42,18,8,209,63
Riley,Sheahan,27,C,1,8475772,12,18,4,-2,117,65
Chris,Wagner,27,R,1,8475780,8,9,0,-4,94,232
Jeff,Skinner,26,C,1,8475784,28,29,14,-5,262,36
Zach,Hyman,26,C,1,8475786,16,23,5,-1,154,112
Erik,Gudbranson,26,D,0,8475790,2,9,0,-6,96,186
Taylor,Hall,27,L,1,8475791,34,50,30,-2,292,66
Brett,Connolly,26,R,1,8475792,11,14,4,-2,109,94
Ryan,Johansen,26,C,1,8475793,17,43,20,3,155,83
Tyler,Seguin,26,C,1,8475794,36,46,27,-4,316,63
Mark,Pysyk,26,D,0,8475796,6,15,1,1,105,99
Mikael,Granlund,26,R,1,8475798,22,43,20,4,198,51
Nino,Niederreiter,26,R,1,8475799,23,24,11,3,176,82
Joakim,Nordstrom,26,C,1,8475807,10,11,0,-1,96,120
Bryan,Rust,26,R,1,8475810,16,26,8,5,151,113
Joonas,Donskoi,26,R,1,8475820,18,24,9,5,150,43
Tom,Kuhnhackl,26,R,1,8475832,8,11,0,-1,75,154
Marcus,Sorensen,26,L,1,8475834,7,9,0,0,91,74
Tim,Heed,27,D,0,8475841,6,21,8,1,149,34
Brendan,Gallagher,26,R,1,8475848,29,32,16,2,261,83
Jesper,Fast,27,R,1,8475855,11,19,2,-1,100,135
Anthony,Bitetto,28,D,0,8475868,1,10,0,-1,67,113
Brandon,Davidson,27,D,0,8475869,5,10,0,2,107,153
John,Klingberg,26,D,0,8475906,12,50,23,2,197,43
Micheal,Ferland,26,L,1,8475907,17,21,7,-1,153,171
Mark,Stone,26,R,1,8475913,25,44,20,1,193,62
Kevan,Miller,31,D,0,8476191,3,15,1,9,74,182
Cory,Conacher,29,C,1,8476195,12,12,2,0,111,73
Brian,Gibbons,30,C,1,8476207,11,15,1,0,106,54
Ryan,Dzingel,26,L,1,8476288,18,21,7,-2,144,70
Ondrej,Palat,27,L,1,8476292,18,31,14,1,163,112
Scott,Wilson,26,C,1,8476293,11,13,1,-3,118,147
Rob,O'Gara,25,D,0,8476303,1,7,0,-1,68,118
Lukas,Sedlak,25,C,1,8476310,9,8,0,3,82,115
Josh,Manson,27,D,0,8476312,8,22,4,7,124,175
Max,McCormick,26,L,1,8476323,8,7,0,-1,102,152
Josh,Archibald,26,R,1,8476326,9,9,0,-1,91,161
Dylan,DeMelo,25,D,0,8476331,4,20,5,2,98,99
Johnny,Gaudreau,25,L,1,8476346,26,56,27,0,233,14
Tobias,Rieder,25,R,1,8476356,14,19,5,-5,141,89
Fredrik,Claesson,26,D,0,8476368,2,13,0,1,82,184
Nick,Seeler,25,D,0,8476372,2,13,2,4,74,82
Sean,Kuraly,25,C,1,8476374,10,13,1,1,138,150
Andrew,Shaw,27,R,1,8476381,16,19,9,-2,151,129
Vincent,Trocheck,25,C,1,8476389,29,41,22,-4,261,128
Adam,Lowry,25,C,1,8476392,14,19,6,5,128,203
Nick,Cousins,25,C,1,8476393,15,14,3,-2,135,124
Blake,Coleman,27,C,1,8476399,12,13,2,2,142,204
Andy,Andreoff,27,C,1,8476404,8,7,0,-1,80,137
Alan,Quine,25,C,1,8476409,9,9,1,-3,75,119
Jean-Gabriel,Pageau,26,C,1,8476419,15,20,4,1,152,133
Mike,Reilly,25,D,0,8476422,4,18,5,-3,104,62
Reid,Boucher,25,C,1,8476423,14,14,5,-2,149,60
Scott,Mayfield,26,D,0,8476429,3,16,2,-4,112,130
Boone,Jenner,25,C,1,8476432,19,20,7,-3,201,199
Dmitrij,Jaskin,25,R,1,8476436,10,15,3,6,122,197
Victor,Rask,25,C,1,8476437,18,26,13,-1,160,65
Brandon,Saad,26,L,1,8476438,23,25,8,1,221,35
Brett,Ritchie,25,R,1,8476439,13,12,3,1,141,182
Markus,Granlund,25,C,1,8476440,15,11,3,-5,137,72
Joel,Edmundson,25,D,0,8476441,7,16,3,6,142,141
Matt,Nieto,26,L,1,8476442,12,15,1,-3,114,45
Xavier,Ouellet,25,D,0,8476443,4,13,2,0,110,79
Miikka,Salomaki,25,R,1,8476447,8,11,0,0,75,164
William,Karlsson,25,C,1,8476448,28,33,14,7,184,50
Scott,Harrington,25,D,0,8476449,2,7,0,0,85,97
Nikita,Kucherov,25,R,1,8476453,38,56,35,2,281,27
Ryan,Nugent-Hopkins,25,C,1,8476454,24,32,15,-1,205,56
Gabriel,Landeskog,26,L,1,8476455,23,35,17,-3,198,140
Jonathan,Huberdeau,25,L,1,8476456,26,44,19,0,210,40
Adam,Larsson,26,D,0,8476457,5,15,2,4,113,263
Ryan,Strome,25,C,1,8476458,15,24,8,-2,148,56
Mika,Zibanejad,25,C,1,8476459,27,31,18,-2,223,92
Mark,Scheifele,25,C,1,8476460,28,44,22,5,198,62
Sean,Couturier,26,C,1,8476461,27,41,17,6,212,64
Dougie,Hamilton,25,D,0,8476462,17,36,17,4,249,78
Jonas,Brodin,25,D,0,8476463,6,17,4,4,105,49
Ryan,Murphy,25,D,0,8476465,4,14,3,1,110,38
Sven,Baertschi,26,L,1,8476466,17,19,10,-5,143,40
Jamie,Oleksiak,26,D,0,8476467,4,14,2,3,103,188
J.T.,Miller,25,C,1,8476468,20,33,14,2,156,115
Joel,Armia,25,R,1,8476469,14,19,5,2,137,93
Nathan,Beaulieu,26,D,0,8476470,5,18,4,-2,105,71
Oscar,Klefbom,25,D,0,8476472,10,24,9,0,225,63
Connor,Murphy,25,D,0,8476473,5,17,3,2,117,152
Stefan,Noesen,25,R,1,8476474,15,15,3,4,143,121
Joe,Morrow,26,D,0,8476476,5,17,5,0,129,113
Phillip,Danault,25,C,1,8476479,16,24,7,1,144,89
Vladislav,Namestnikov,26,C,1,8476480,20,26,12,1,153,77
Rickard,Rakell,25,C,1,8476483,32,33,19,-2,237,108
Seth,Griffith,25,C,1,8476495,6,12,2,1,74,61
Colin,Miller,26,D,0,8476525,10,29,12,5,168,145
Jonathan,Marchessault,28,C,1,8476539,26,38,19,0,249,96
Zack,Mitchell,25,R,1,8476619,6,3,0,0,82,99
