Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
207,Kerby,Rychel,CGY,LW,-140,7,1,1,0,8,0,10
208,Saku,Maenalanen,CAR,LW,-141,8,0,2,0,0,0,10
209,Matt,Beleskey,NYR,LW,-142,4,0,0,0,7,0,11
210,Joseph,Blandisi,ANA,C/LW,-143,4,0,1,0,4,0,4
211,Reid,Boucher,VAN,C/LW,-143,2,0,0,0,4,0,7
212,Shawn,Matthias,WPG,LW/RW,-146,0,0,0,0,0,0,0
213,Jussi,Jokinen,VAN,LW/RW,-146,0,0,0,0,0,0,0
214,Daniel,Winnik,MIN,C/LW,-146,0,0,0,0,0,0,0
215,Lance,Bouma,CHI,LW,-146,0,0,0,0,0,0,0
216,Kris,Versteeg,CGY,LW,-146,0,0,0,0,0,0,0
217,Rick,Nash,BOS,LW/RW,-146,0,0,0,0,0,0,0
218,Jannik,Hansen,SJS,LW/RW,-146,0,0,0,0,0,0,0
219,Logan,Shaw,MTL,LW/RW,-146,0,0,0,0,0,0,0
220,Benoit,Pouliot,BUF,LW,-146,0,0,0,0,0,0,0
221,Tomas,Jurco,CHI,LW/RW,-146,0,0,0,0,0,0,0
222,Michael,Cammalleri,EDM,LW/RW,-146,0,0,0,0,0,0,0
223,Scott,Hartnell,NSH,LW,-146,0,0,0,0,0,0,0
224,Shane,Prince,NYI,LW/RW,-146,0,0,0,0,0,0,0
225,Matt,Moulson,BUF,LW/RW,-146,0,0,0,0,0,0,0
