Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
175,Daniel,Sprong,PIT,RW,-58,62,15,20,0,107,9,55
176,Sven,Baertschi,VAN,LW,-58,65,17,21,0,104,10,35
177,Marcus,Foligno,MIN,LW,-58,77,10,15,0,86,0,185
178,Joonas,Donskoi,SJS,LW/RW,-58,69,14,22,10,112,9,30
179,Miles,Wood,NJD,LW,-59,77,18,15,0,157,0,87
180,Anthony,Duclair,CBJ,LW/RW,-59,70,14,21,0,100,9,57
181,Paul,Byron,MTL,LW/RW,-59,80,20,19,-10,92,0,130
182,Blake,Comeau,DAL,LW,-59,78,11,18,0,121,0,133
183,Sven,Andrighetto,COL,RW,-59,67,11,23,-10,121,9,54
184,Tyler,Pitlick,DAL,RW,-59,77,13,15,0,127,0,133
185,Vladimir,Sobotka,BUF,LW,-60,75,12,22,-10,125,0,116
186,Chris,Wagner,BOS,C/RW,-60,76,6,11,0,87,0,212
187,Austin,Watson,NSH,RW,-61,75,12,15,0,86,0,166
188,Ty,Rattie,EDM,RW,-61,65,18,16,0,105,9,49
189,Jamie,McGinn,FLA,LW,-62,76,13,13,0,127,0,131
190,Jesper,Bratt,NJD,LW/RW,-62,75,11,25,-10,102,9,49
191,Darren,Helm,DET,LW/RW,-62,71,12,15,0,141,0,111
192,Austin,Czarnik,CGY,C/RW,-63,71,13,25,0,88,10,28
193,Brandon,Tanev,WPG,LW/RW,-64,66,7,10,0,79,0,203
194,Evan,Rodrigues,BUF,C/LW,-64,73,11,22,-10,137,8,31
195,Michael,Grabner,ARI,LW,-65,78,24,14,0,147,0,49
196,Drake,Caggiula,EDM,LW/RW,-66,69,12,13,0,106,0,133
197,Stefan,Noesen,NJD,RW,-67,69,13,14,10,111,0,108
198,Mattias,Janmark,DAL,C/LW,-67,78,17,18,-10,124,9,15
199,Dmitrij,Jaskin,STL,LW/RW,-68,67,9,10,0,95,0,164
200,Chris,Kunitz,CHI,LW,-68,78,10,15,0,122,0,112
201,Ryan,Reaves,VGK,RW,-68,78,4,8,0,46,0,238
202,Tobias,Rieder,EDM,LW/RW,-68,76,14,17,-10,145,0,76
203,Colton,Sceviour,FLA,RW,-69,76,11,14,0,147,0,88
204,Michael,Frolik,CGY,RW,-69,72,14,16,-10,175,0,53
205,Nick,Cousins,ARI,C/RW,-69,73,11,13,0,113,0,120
206,Nicolas,Deslauriers,MTL,LW,-70,58,7,5,0,60,0,214
207,Jordan,Greenway,MIN,LW,-71,74,12,17,0,49,7,93
208,Jake,Virtanen,VAN,RW,-71,68,10,9,-10,116,0,146
209,Zack,Kassian,EDM,RW,-71,73,7,15,0,92,0,138
210,Patrick,Eaves,ANA,LW/RW,-73,54,18,15,0,119,0,59
211,Alex,Iafallo,LAK,LW,-73,76,12,19,0,132,0,54
212,Zack,Smith,OTT,C/LW,-73,74,11,15,-10,122,0,98
213,Andreas,Johnsson,TOR,LW,-73,69,15,13,10,146,0,42
214,Jesper,Fast,NYR,RW,-74,73,10,22,-10,71,0,113
215,Zemgus,Girgensons,BUF,LW,-75,72,7,12,-10,116,0,125
216,Tim,Schaller,VAN,LW,-76,73,12,9,0,110,0,106
